性別,現在の年齢,現在好きな音楽の嗜好性やジャンル（大まかで構いません）,現在、ご自身はどの程度音楽に関心がありますか？,自分から進んで音楽を聞くようになった（自覚して選曲するようになった）年齢はいくつですか？,幼少期、家族と車に乗る機会は多かったですか？,"車内で音楽（CD, MD, ラジオ等）は流れていましたか？",誰が選んだ音楽を流していましたか？（複数回答可）,"★兄弟姉妹と答えた方へ★
選曲した兄弟姉妹は…","車内でよく流れていた曲やアーティストを覚えていますか？
特定のアーティスト・曲をお答えください。
覚えていない場合は空欄で構いません。",その音楽を聴くと、当時の情景や気分を思い出しますか？,その音楽に対して当時は好意的でしたか？,その音楽に対して今は好意的ですか？,"選曲をしていた人への気持ちは当時はどうでしたか？
※答えたくない場合は空欄でも構いません","選曲をしていた人への気持ちは今はどうですか？
※答えたくない場合は空欄でも構いません",当時車で聴いていた音楽は、現在の自分の好みの傾向に影響を与えていると思いますか？,自分が音楽を選ぶとき、その時代の音楽を好んで選ぶことがありますか？,幼少期に車内以外で、影響を受けた聴取環境はありますか？,車内以外の環境で聴いた音楽と比べて、車内での音楽の記憶はより印象に残っていますか？,車内で聞いた以外で、幼少期に思い出に残っているアーティスト・曲があればお答えください。,幼少期の車内で印象的だった音楽体験、記憶に残っている出来事があれば自由にご記入ください。,「親の車理論」という考えについてどうお考えですか？（あるある！もしくは理解できない...など）
女性,32,rock/pop/AOR/acid jazz/渋谷系/city pop/dream pop/new jack swing/deep house/kpop/アイドル/funk,5,14,週数回,常に,親,,松任谷由実、スピッツ、槇原敬之、ケミストリー、EW&F、ケツメイシ,はい,5,5,5.0,5.0,とてもある,はい,テレビ,車内の方が記憶に残っている,ハッチポッチステーションやNHK教育の音楽,,あると思います
男性,33,グランジ・オルタナ・シューゲイザー・日本語HIPHOP,5,11,週数回,常に,親,,ラルクアンシエル、hide、Led Zeppelin,はい,3,5,3.0,5.0,とてもある,はい,音楽の時間で歌った曲、小学校の放送で流れた曲,車内の方が記憶に残っている,ないかも,昔は父親が苦手だったので父親が聞いていたLed Zeppelinが嫌いだったが、今は父親との関係が良好になりLed Zeppelinが好きになった,大いにあると思う
男性,31,ポップス、渋谷系、アシッドジャズ、ポストロック,5,12,週数回,よく,親,,倉木麻衣、久保田利伸、アースウインドファイヤー,はい,5,5,5.0,5.0,とてもある,ときどき,自分以外の家族の部屋,どちらも同じくらい記憶に残っている,aiko,富山から石川県の車移動の際に、うつらうつらしながら,あるある！
男性,28,映画サントラ,4,14,毎日,常に,"親, 兄弟姉妹",兄,松田聖子、中森明菜、山口百恵、西城秀樹、沢田研二、八神純子、クイーン、hide、ラルク、Dir en Gray 、9mm、バクホン、ホルモン、凛として時雨、ルナシー、スリップノット,なんとなく,3,4,3.0,3.0,ややある,はい,自分以外の家族の部屋,どちらも同じくらい記憶に残っている,Dir en gray,親がよく百恵ちゃんの映画を7回観たとか西城秀樹のファンクラブ入ってたとか色々知らない時代の事を話していた思い出,おそらくあるとは思うが、中学から高校は兄の部屋で聴いた曲の方が好きだった。今は歌謡曲も好きになれているので結果としては多種多様な音楽を知れて良かったと思う。
女性,28,ボカロ,2,15,毎日,常に,親,,クラシック,はい,4,4,1.0,2.0,全くない,ない,自分以外の家族の部屋,車内の方が記憶に残っている,椎名林檎、マキシマムザホルモン,中学生の時友人の親の車に乗った時、JPOPが流れていてクラシック以外の選択肢があることにびっくりした,母がフルートをやっていた影響で車ではクラシックが流れていた。母や姉とカラオケに行ったりもしたが当時ボカロ音楽ばかりを聞いていたため、選曲(松田聖子、椎名林檎等)には影響されていない。
男性,31,ロック！,4,12,週数回,常に,親,,福山雅治,はい,2,4,4.0,4.0,わからない,ときどき,ラジオ,どちらも同じくらい記憶に残っている,,,あるあるな話だと思いますが、自分の場合ラジオが主だったので特定のアーティストに結びついてはないです。また現在好きなジャンルに影響されてるかはよく分からないです。
女性,32,いろいろ雑食,5,3,毎日,常に,"親, 兄弟姉妹, 自分",妹,ファンクジャズ、jpop,はい,5,5,5.0,5.0,とてもある,ときどき,ジャズフェス、映画、ディズニー,どちらも同じくらい記憶に残っている,ジャズフェス　曲やアーティストは覚えてない,車で長距離旅行が多かったから夜は父の選曲、昼間は子供と母の選曲だった。父の大学のジャズサークル仲間と毎年1回ジャズフェスに0歳からいってた,あるある！
男性,50,ハードロック,1,10,毎日,よく,親,,石原裕次郎,なんとなく,3,3,4.0,4.0,全くない,ない,テレビ,どちらも同じくらい記憶に残っている,チェッカーズ,父が浪曲を聞き出したときは、意味がわからずびっくりした,ない
男性,29,結構色々聴きますがアウトプットしているのはHipHopです,5,12,月数回,よく,親,,シェリルクロウ　ココロデキクウタと言うコンピ　ウルフルズ,はい,5,5,5.0,5.0,ややある,はい,ラジオ,どちらも同じくらい記憶に残っている,数え切れません…,,あると思う
女性,39,メロコア、V系、J-POP,5,10,週数回,常に,"親, 兄弟姉妹, 自分",妹,TOKIO.ローカルラジオ番組FMとやま.尾崎豊.爆発スランプ,はい,5,5,5.0,5.0,とてもある,ときどき,テレビ,どちらも同じくらい記憶に残っている,昭和後期に流行った音楽。カラオケでよく父母、父母の友達が歌っていた。,,あると思う！
